title,publisher,h_index,thematic_scope,issn,quartile_category,quartile_year,quartile,sjr_year,sjr_score,impact_factor_year,impact_factor_score
International Journal of Bifurcation and Chaos in Applied Sciences and Engineering,World Scientific,116,"The International Journal of Bifurcation and Chaos is widely regarded as a leading journal in the exciting fields of chaos theory and nonlinear science. Represented by an international editorial board comprising top researchers from a wide variety of disciplines, it is setting high standards in scientific and production quality. The journal has been reputedly acclaimed by the scientific community around the world, and has featured many important papers by leading researchers from various areas of applied sciences and engineering.
The discipline of chaos theory has created a universal paradigm, a scientific parlance, and a mathematical tool for grappling with complex dynamical phenomena. In every field of applied sciences (astronomy, atmospheric sciences, biology, chemistry, economics, geophysics, life and medical sciences, physics, social sciences, ecology, etc.) and engineering (aerospace, chemical, electronic, civil, computer, information, mechanical, software, telecommunication, etc.), the local and global manifestations of chaos and bifurcation have burst forth in an unprecedented universality, linking scientists heretofore unfamiliar with one another's fields, and offering an opportunity to reshape our grasp of reality.",0218-1274,Multidisciplinary,2023,Q1,2023,0.570,2023,2.088
RAIRO - Operations Research,EDP Sciences,36,"RAIRO-Operations Research is an international journal devoted to high-level pure and applied research on all aspects of operations research. All papers published in RAIRO-Operations Research are critically refereed according to international standards. Any paper will either be accepted (possibly with minor revisions) either submitted to another evaluation (after a major revision) or rejected. Every effort will be made by the Editorial Board to ensure a first answer concerning a submitted paper within three months, and a final decision in a period of time not exceeding six months.

RAIRO-Operations Research contains the following types of papers:

    theory and methodology papers;
    case studies describing the solution to an actual problem arising, for example, in Transports, Telecommunications, Production Systems, Financial Planning, Computational Biology, Energy or Computer Science;
    state-of-the art surveys that provide a synthesis and comprehensive review of one particular area of interest.

Apart from regular issues, RAIRO-Operations Research publishes special issues which focus on an Operations Research topic of current interest or which are devoted to a selection of conference papers. The papers of these special issues will be subjected to the same rigorous refereeing process as regular submissions.",0399-0559,Theoretical Computer Science,2023,Q3,2023,0.438,2023,2.191
Discrete and Continuous Dynamical Systems - Series S,American Institute of Mathematical Sciences,40,"Series S of Discrete and Continuous Dynamical Systems only publishes theme issues. Each issue is devoted to a specific area of the mathematical, physical and engineering sciences. This area will define a research frontier that is advancing rapidly, often bridging mathematics and sciences. DCDS-S is essential reading for mathematicians, physicists, engineers and other physical scientists. The journal is published bimonthly.",1937-1632,Discrete Mathematics and Combinatorics,2023,Q2,2023,0.541,2023,1.591
International Journal of Non-Linear Mechanics,Elsevier Ltd,100,"The International Journal of Non-Linear Mechanics provides a specific medium for dissemination of high-quality research results in the various areas of theoretical, applied, and experimental mechanics of solids, fluids, structures, and systems where the phenomena are inherently non-linear.

The journal brings together original results in non-linear problems in elasticity, plasticity, dynamics, vibrations, wave-propagation, rheology, fluid-structure interaction systems, stability, biomechanics, micro- and nano-structures, materials, metamaterials, and in other diverse areas.

Papers may be analytical, computational or experimental in nature. Treatments of non-linear differential equations wherein solutions and properties of solutions are emphasized but physical aspects are not adequately relevant, will not be considered for possible publication. Both deterministic and stochastic approaches are fostered. Contributions pertaining to both established and emerging fields are encouraged.",0020-7462,Mechanics of Materials,2023,Q1,2023,0.800,2023,3.342
Evolution Equations and Control Theory,American Institute of Mathematical Sciences,23,"EECT is primarily devoted to papers on analysis and control of infinite dimensional systems with emphasis on applications to PDE's and FDEs. Topics include:

  *  Modeling of physical systems as infinite-dimensional processes
  *  Direct problems such as existence, regularity and well-posedness
  *  Stability, long-time behavior and associated dynamical attractors
  *  Indirect problems such as exact controllability, reachability theory and inverse problems
  *  Optimization - including shape optimization - optimal control, game theory and calculus of variations
  *  Well-posedness, stability and control of coupled systems with an interface. Free boundary problems and problems with moving interface(s)
  *  Applications of the theory to physics, chemistry, engineering, economics, medicine and biology",2163-2480,Modeling and Simulation,2023,Q1,2023,0.888,2023,2.030
Journal of Nonlinear Science,Springer New York,64,"The mission of the Journal of Nonlinear Science is to publish papers that augment the fundamental ways we describe, model, and predict nonlinear phenomena. Papers should make an original contribution to at least one technical area and should in addition illuminate issues beyond that area's boundaries. Even excellent papers in a narrow field of interest are not appropriate for the journal. Papers can be oriented toward theory, experimentation, algorithms, numerical simulations, or applications as long as the work is creative and sound. Excessively theoretical work in which the application to natural phenomena is not apparent (at least through similar techniques) or in which the development of fundamental methodologies is not present is probably not appropriate. In turn, papers oriented toward experimentation, numerical simulations, or applications must not simply report results without an indication of what a theoretical explanation might be.

All papers should be submitted in English and must meet common standards of usage and grammar. In addition, because ours is a multidisciplinary subject, at minimum the introduction to the paper should be readable to a broad range of scientists and not only to specialists in the subject area. The scientific importance of the paper and its conclusions should be made clear in the introduction-this means that not only should the problem you study be presented, but its historical background, its relevance to science and technology, the specific phenomena it can be used to describe or investigate, and the outstanding open issues related to it should be explained. Failure to achieve this could disqualify the paper.",0938-8974,Modeling and Simulation,2023,Q1,2023,1.179,2023,2.500
Applied and Computational Harmonic Analysis,Academic Press Inc.,98,"Applied and Computational Harmonic Analysis (ACHA) is an interdisciplinary journal that publishes high-quality papers in all areas of mathematical sciences related to the applied and computational aspects of harmonic analysis, with special emphasis on innovative theoretical development, methods, and algorithms, for information processing, manipulation, understanding, and so forth. The objectives of the journal are to chronicle the important publications in the rapidly growing field of data representation and analysis, to stimulate research in relevant interdisciplinary areas, and to provide a common link among mathematical, physical, and life scientists, as well as engineers.",1063-5203,Applied Mathematics,2023,Q1,2023,2.231,2023,2.734
Transactions of the American Mathematical Society,American Mathematical Society,104,"All articles submitted to this journal are peer-reviewed. The AMS has a single blind peer-review process in which the reviewers know who the authors of the manuscript are, but the authors do not have access to the information on who the peer reviewers are.

This journal is devoted to research articles in all areas of pure and applied mathematics. To be published in the Transactions, a paper must be correct, new, and significant. Further, it must be well written and of interest to a substantial number of mathematicians. Piecemeal results, such as an inconclusive step toward an unproved major theorem or a minor variation on a known result, are in general not acceptable for publication. Papers of less than 15 printed pages that meet the above criteria should be submitted to the Proceedings of the American Mathematical Society. Published pages are the same size as those generated in the style files provided for AMS-LaTeX.",0002-9947,Mathematics (miscellaneous),2023,Q1,2023,1.581,2023,1.365
"Chaos, Solitons and Fractals",Elsevier Ltd,168,"Chaos, Solitons & Fractals aims to be the leading journal in the interdisciplinary field of Nonlinear Science.

It encourages the submission of high-quality articles (under the form of short communications, regular papers, and review papers) concerning the fundamentals of the following subjects:
nonlinear dynamics and non-equilibrium processes in physics and applied mathematics;
complex matter and networks;
biophysics, systems biology and computational biology;
fluctuations and random processes;
artificial intelligence, machine learning and big data analytics;
self-organization and emergent phenomena;
applications to social science, engineering and econophysics.",0960-0779,Statistical and Nonlinear Physics,2023,Q1,2023,1.349,2023,5.969
Communications in Mathematical Biology and Neuroscience,SCIK Publishing Corporation,15,Information not localized,2052-2541,Neuroscience (miscellaneous),2023,Q4,2023,0.200,2023,0.644
